areaName,Borough,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
DUMBO,Brooklyn,53.416666666666664,50.333333333333336,70.0,81.75,104.58333333333333,106.75,113.08333333333333,127.0,87.75,91.33333333333333,168.16666666666666,102.66666666666667,102.66666666666667,109.75,197.83333333333334,253.0
Ditmas Park,Brooklyn,10.0,21.083333333333332,26.0,34.083333333333336,90.66666666666667,165.08333333333334,136.75,198.5,204.33333333333334,229.83333333333334,235.41666666666666,233.91666666666666,134.91666666666666,122.41666666666667,125.5,108.5
Douglaston,Queens,2.1666666666666665,2.5,3.0833333333333335,6.416666666666667,5.666666666666667,4.0,5.083333333333333,5.5,3.5,3.5833333333333335,6.166666666666667,3.3333333333333335,2.6666666666666665,5.583333333333333,2.9166666666666665,5.0
Downtown Brooklyn,Brooklyn,113.16666666666667,92.16666666666667,117.33333333333333,155.16666666666666,265.9166666666667,301.6666666666667,456.8333333333333,444.5833333333333,423.4166666666667,384.6666666666667,539.75,492.5833333333333,363.9166666666667,409.3333333333333,470.0,468.0
Dyker Heights,Brooklyn,8.666666666666666,13.166666666666666,6.416666666666667,9.333333333333334,21.583333333333332,33.75,40.75,52.166666666666664,56.0,57.083333333333336,40.333333333333336,61.416666666666664,40.333333333333336,27.916666666666668,26.5,30.5
East Elmhurst,Queens,0.75,0.3333333333333333,0.3333333333333333,1.0833333333333333,3.75,2.8333333333333335,1.75,4.583333333333333,6.333333333333333,6.5,9.583333333333334,5.583333333333333,6.916666666666667,9.583333333333334,9.166666666666666,11.5
East Flatbush,Brooklyn,14.833333333333334,16.833333333333332,15.833333333333334,25.25,74.83333333333333,152.25,169.0,217.91666666666666,229.5,220.66666666666666,211.5,225.0,279.4166666666667,236.83333333333334,288.6666666666667,262.0
East Harlem,Manhattan,116.16666666666667,113.0,177.83333333333334,282.5833333333333,475.5,597.0833333333334,585.3333333333334,556.1666666666666,456.3333333333333,431.9166666666667,515.8333333333334,569.5833333333334,370.75,471.6666666666667,442.8333333333333,298.0
East New York,Brooklyn,1.6666666666666667,4.416666666666667,10.083333333333334,20.416666666666668,35.25,49.166666666666664,67.66666666666667,103.16666666666667,93.83333333333333,122.25,107.0,122.33333333333333,128.33333333333334,140.16666666666666,176.91666666666666,135.0
East Tremont,Bronx,0.3333333333333333,0.75,3.1666666666666665,1.0,11.916666666666666,18.75,9.083333333333334,13.666666666666666,17.583333333333332,16.5,13.75,17.416666666666668,13.916666666666666,15.916666666666666,10.25,15.0
East Village,Manhattan,442.75,392.5833333333333,580.9166666666666,797.8333333333334,1079.5,1259.6666666666667,1246.3333333333333,1354.6666666666667,1210.5,1185.8333333333333,1999.5833333333333,1269.25,902.8333333333334,1253.3333333333333,1226.9166666666667,667.5
Eastchester,Bronx,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.08333333333333333,2.5833333333333335,2.5,2.1666666666666665,2.5,1.25,0.8333333333333334,0.3333333333333333,0.5
Edenwald,Bronx,0.0,0.16666666666666666,0.6666666666666666,2.6666666666666665,2.0833333333333335,0.0,1.3333333333333333,1.4166666666666667,1.25,2.25,0.8333333333333334,1.5833333333333333,3.9166666666666665,5.833333333333333,2.4166666666666665,1.5
Elmhurst,Queens,8.083333333333334,6.833333333333333,17.25,27.833333333333332,41.166666666666664,53.666666666666664,68.83333333333333,119.91666666666667,118.91666666666667,111.08333333333333,120.75,147.5,97.83333333333333,94.91666666666667,83.83333333333333,90.5
Financial District,Manhattan,575.0,607.0833333333334,690.5833333333334,1022.8333333333334,940.75,865.75,907.5,905.75,753.4166666666666,771.0833333333334,1056.9166666666667,834.3333333333334,632.25,765.0,794.5,685.5
Flatbush,Brooklyn,12.333333333333334,20.916666666666668,17.666666666666668,52.083333333333336,144.91666666666666,234.0,264.9166666666667,411.25,494.4166666666667,537.5833333333334,588.9166666666666,671.0833333333334,593.0,648.25,741.4166666666666,650.5
Flatiron,Manhattan,266.6666666666667,229.41666666666666,265.25,454.9166666666667,474.5,554.3333333333334,517.3333333333334,503.25,423.1666666666667,394.5,714.6666666666666,476.3333333333333,374.9166666666667,456.25,370.9166666666667,258.5
Flatlands,Brooklyn,0.9166666666666666,3.0,1.0833333333333333,2.1666666666666665,2.6666666666666665,5.0,5.583333333333333,7.083333333333333,11.0,10.416666666666666,5.916666666666667,8.416666666666666,11.166666666666666,11.583333333333334,9.166666666666666,5.5
Floral Park,Queens,0.0,0.0,0.16666666666666666,1.0833333333333333,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.0,1.25,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.5
Flushing,Queens,14.166666666666666,32.833333333333336,32.916666666666664,36.0,64.91666666666667,98.58333333333333,108.91666666666667,205.75,173.75,208.08333333333334,167.33333333333334,201.25,200.75,167.91666666666666,153.58333333333334,162.5
Fordham,Bronx,0.16666666666666666,0.3333333333333333,4.666666666666667,2.75,9.083333333333334,24.25,32.0,36.083333333333336,39.333333333333336,42.833333333333336,26.833333333333332,34.25,37.416666666666664,35.583333333333336,34.666666666666664,40.0
Forest Hills,Queens,69.16666666666667,85.0,90.0,101.5,208.66666666666666,288.5833333333333,259.4166666666667,372.0,346.1666666666667,366.9166666666667,348.4166666666667,452.8333333333333,308.5833333333333,241.41666666666666,230.58333333333334,233.0
